Symbol,Name,Last,Sector,Industry,Time,"10Y %Chg","YTD %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W Chg"
NVR,"NVR Inc",3909.8501,Construction,"Building - Residential & Comm","16:01 ET",+359.42%,-33.52%,0.97,12846542000,8951030000,1236720000,374.54,0.00%,-783.16
GOOG,"Alphabet Cl C",2207.8101,"Computers and Technology","Internet - Services","16:00 ET",N/A,-23.44%,1.13,1411744960000,257637000000,76033000000,110.56,0.00%,-305.24
GOOGL,"Alphabet Cl A",2195.29,"Computers and Technology","Internet - Services","16:00 ET",+635.88%,-23.85%,1.13,1405443200000,257637000000,76033000000,110.56,0.00%,-222.33
AZO,Autozone,2013.8101,Retail-Wholesale,"Retail - Wholesale Auto Parts","16:00 ET",+453.85%,-4.07%,0.9,40364528000,14629580000,2170310000,112.74,0.00%,608.01
BKNG,"Booking Holdings Inc",1973.24,Retail-Wholesale,"Internet Commerce","16:00 ET",+193.67%,-17.74%,1.18,79276192000,10958000000,1165000000,54.88,0.00%,-328.4
CMG,"Chipotle Mexican Grill",1266.16,Retail-Wholesale,"Retail - Restaurants","16:03 ET",+216.89%,-27.22%,1.3,33666516000,7547060000,652980000,25.76,0.00%,-98.2
MTD,"Mettler-Toledo International",1167.25,"Computers and Technology","Industrial Scientific","16:00 ET",+642.78%,-31.23%,1.06,26319876000,3717930000,768990000,35.22,0.00%,-191.26
TSLA,"Tesla Inc",699,Auto-Tires-Trucks,"Auto - Domestic","16:00 ET","+10,489.17%",-33.34%,2.13,686532736000,53823000000,5519000000,7.37,0.00%,105.06
EQIX,"Equinix Inc",641.25,Finance,"REIT - Equity Trust Retail","16:00 ET",+252.13%,-23.90%,0.46,56293064000,6635540000,500190000,5.42,2.01%,-165.29
BLK,"Blackrock Inc",599.9,Finance,"Finance - Investment Mgmt","16:00 ET",+248.15%,-34.30%,1.27,89573120000,19374000000,5901000000,40.92,3.26%,-279.49
ORLY,"O'Reilly Automotive",599.01,Retail-Wholesale,"Retail - Wholesale Auto Parts","16:00 ET",+612.30%,-14.96%,1.04,39217444000,13327560000,2164690000,31.21,0.00%,65.48
REGN,"Regeneron Pharmaceuticals",561.19,Medical,"Medical - Biomedical","16:00 ET",+380.08%,-11.09%,0.25,59517360000,16071700000,8075300000,78.55,0.00%,34
